,station_id,count_x,count_y,total_counts,station1,station2,station3,distance1,distance2,distance3
18,168,22147.0,22340,44487.0,R105-R127,R131-R226,R131-R227A,0.005522960000014621,0.008510039999990227,0.008510039999990227
19,173,19799.0,19468,39267.0,R081-A013,R116-R155,R021-N504,0.0009595600000054105,0.0016110199999985753,0.006530980000000852
20,174,11553.0,11464,23017.0,R131-R226,R545-PTH11,R105-R128,0.010953879999995308,0.020140879999999584,0.021163880000003132
21,195,12910.0,12916,25826.0,R540-PTH21,R540-PTH22,R540-PTH08,0.0028559499999900595,0.0028559499999900595,0.0028559499999900595
22,212,15461.0,15917,31378.0,R320-R119,R320-R120,R143-R228,0.021080879999999524,0.021080879999999524,0.022820880000004706
23,216,2518.0,2380,4898.0,R220-N535,R220-N534,R190-R132,0.020648260000001528,0.020648260000001528,0.04383573999999868
24,217,10338.0,11842,22180.0,R240-N520,R311-A064,R001-A060,0.016098360000000866,0.017721360000010122,0.01945735999999698
25,223,16375.0,16456,32831.0,R105-R128,R105-R127,R163-N511,0.0017575199999910751,0.0017575199999910751,0.003513699999999176
26,224,7176.0,7133,14309.0,R540-PTH08,R540-PTH21,R088-A052,0.005358090000001425,0.005358090000001425,0.006329370000010215
27,228,8081.0,7878,15959.0,R049-R242A,R049-R242,R049-R243,0.0025157600000085267,0.0025157600000085267,0.0025157600000085267
